740.85,53.975,3.05
692,69.825,199.31
455.72,145.52,11.11
565.85,167.09,184.5
778.9,187.26,233.32
692,201.82,303.3
216.79,216.5,106.39
751.75,263.64,6.05
10.372,264.31,221.33
138.57,295.19,182.55
722.35,307.5,356.93
473.8,355.98,27.34
410.53,357.17,30.72
690.7,365.65,120.62
577.5,381.55,295.72
790.65,426.04,13.23
157.8,445.61,265.02
426.1,530.15,279.27
629.1,694.45,242.9
355.71,727.55,234.22
276.14,748.45,202.49
775.95,759.5,185.68
502.45,777.5,27.9
856.3,789.2,260.19
1054.2,823.2,180.58
396.3,843.8,269.41
607.6,855.2,24.14
518.25,880.25,155.46
164.4,899.8,15.11
703.5,905.1,185.75
909.3,931.15,178.37
806.9,947.1,175.16
842.85,961,36.95
