xmin,ymin,xmax,ymax,class
419,33,449,63,1
322,64,352,94,3
218,0,248,29,6
29,-2,59,27,7
40,152,70,182,4
99,289,129,319,4
296,229,326,259,4
333,349,363,379,3
450,309,480,339,6
164,427,194,457,8
309,480,339,510,8
445,528,475,558,7
234,629,264,659,8
95,648,125,678,8
295,724,325,754,7
450,713,480,743,8
603,654,633,684,7
614,559,644,589,2
784,639,814,669,4
702,404,732,434,1
644,242,674,272,6
644,-2,674,27,7
838,3,868,33,8
169,775,199,805,7
45,801,75,831,7
225,856,255,886,8
400,863,430,893,7
566,834,596,864,5
856,861,886,891,7
1023,757,1053,787,2
1211,699,1241,729,3
969,671,999,701,3
1131,552,1161,582,8
959,561,989,591,3
15,745,45,775,8
1266,924,1296,954,1
1189,49,1219,79,1
1127,179,1157,209,8
1235,267,1265,297,5
1141,445,1171,475,3
939,410,969,440,7
975,268,1005,298,1
899,-12,929,17,6
