xmin,ymin,xmax,ymax,class
77,8,107,38,8
143,-2,173,27,6
1057,5,1087,35,8
277,12,307,42,8
614,14,644,44,2
943,38,973,68,8
1018,40,1048,70,7
502,47,532,77,7
316,63,346,93,1
892,93,922,123,7
544,109,574,139,8
333,120,363,150,1
996,124,1026,154,4
167,137,197,167,8
578,180,608,210,8
736,183,766,213,2
1064,176,1094,206,3
177,231,207,261,8
837,240,867,270,8
338,252,368,282,8
1069,253,1099,283,2
401,278,431,308,7
338,308,368,338,4
893,329,923,359,8
440,337,470,367,8
789,349,819,379,8
115,358,145,388,8
580,364,610,394,5
618,375,648,405,8
1098,422,1128,452,8
869,437,899,467,7
506,450,536,480,8
1047,473,1077,503,8
163,494,193,524,1
845,506,875,536,8
1042,562,1072,592,8
252,571,282,601,8
299,580,329,610,2
719,590,749,620,8
167,598,197,628,6
1040,621,1070,651,4
790,650,820,680,8
829,685,859,715,8
929,686,959,716,6
615,705,645,735,8
241,712,271,742,8
275,724,305,754,7
11,733,41,763,8
828,755,858,785,8
205,766,235,796,6
1038,786,1068,816,5
640,846,670,876,1
899,854,929,884,2
450,877,480,907,6
511,893,541,923,8
922,907,952,937,6
1161,937,1191,967,8
3,948,33,978,8
656,684,686,714,8
276,417,306,447,8
665,213,695,243,8
696,2,726,32,7
1122,256,1152,286,8
932,535,962,565,4
809,568,839,598,7
