459.26,138.14,282
448.65,290.14,141
540.95,235.6,273
364.86,393.41,205
425.85,458.39,145
356.37,483.34,322
232.26,416.62,160
232.79,325.54,39
583.35,300.58,139
653.35,357.44,60
705.85,284.92,175
729.25,161.06,1
769.05,203.87,4
848.7,263.2,21
1047.8,233.16,29
1120.6,212.13,347
1187.8,396.89,16
664.1,527.4,92
803.85,455.97,270
874,525.05,261
1035.3,372.52,297
980.7,581.9,336
911.25,611.05,226
1008.3,471,334
943.9,781.3,96
853.45,923.3,349
797.55,815.75,359
348.31,614.1,153
369.2,591.25,151
505.95,904,16
367.87,693.55,159
276.91,685.6,234
296.66,750.45,1
419.67,787.25,186
458.65,755.7,201
680.15,936.25,358
838.75,584.9,184
745.75,837.45,201
1179,624.55,214
634.1,825.3,350
1050.5,801.05,153
207.56,864.2,55
534.25,962.8,225
682.45,294.86,207
690.95,308.55,277
