xmin,ymin,xmax,ymax,class
581,0,611,30,8
708,-4,738,25,4
1150,15,1180,45,6
665,40,695,70,6
779,35,809,65,4
1081,64,1111,94,1
606,74,636,104,5
985,74,1015,104,4
625,87,655,117,7
441,88,471,118,6
220,109,250,139,6
866,107,896,137,8
983,112,1013,142,1
53,147,83,177,8
543,156,573,186,6
1065,155,1095,185,8
319,185,349,215,6
634,192,664,222,8
765,230,795,260,6
1237,231,1267,261,2
819,237,849,267,4
973,241,1003,271,8
413,254,443,284,7
569,276,599,306,1
846,264,876,294,1
933,275,963,305,5
1194,307,1224,337,2
575,318,605,348,3
494,344,524,374,4
1074,343,1104,373,7
365,347,395,377,3
1035,363,1065,393,6
633,366,663,396,5
444,373,474,403,4
521,385,551,415,6
623,389,653,419,4
1054,390,1084,420,7
1125,379,1155,409,2
1096,417,1126,447,6
1122,444,1152,474,7
492,456,522,486,5
928,475,958,505,7
948,491,978,521,3
1088,494,1118,524,5
603,515,633,545,4
643,511,673,541,1
263,534,293,564,1
762,560,792,590,5
980,586,1010,616,1
1073,583,1103,613,7
1143,605,1173,635,8
549,613,579,643,3
802,667,832,697,2
453,681,483,711,5
559,671,589,701,4
871,682,901,712,8
1107,736,1137,766,8
818,736,848,766,5
584,763,614,793,6
231,779,261,809,1
1120,772,1150,802,7
725,791,755,821,2
1066,795,1096,825,3
752,804,782,834,2
936,804,966,834,3
980,792,1010,822,6
1024,819,1054,849,1
706,837,736,867,8
1000,845,1030,875,4
191,856,221,886,8
139,868,169,898,8
891,885,921,915,8
994,875,1024,905,7
688,890,718,920,8
779,894,809,924,8
1190,905,1220,935,7
139,921,169,951,8
288,918,318,948,6
306,914,336,944,7
235,937,265,967,1
593,940,623,970,6
865,951,895,981,5
760,187,790,217,5
956,138,986,168,7
1072,10,1102,40,8
928,277,958,307,1
817,317,847,347,6
806,351,836,381,7
820,371,850,401,8
904,423,934,453,7
1165,636,1195,666,8
621,353,651,383,4
125,384,155,414,3
147,379,177,409,8
168,411,198,441,6
174,401,204,431,3
371,261,401,291,8
367,515,397,545,1
459,733,489,763,8
576,758,606,788,7
896,685,926,715,1
545,875,575,905,4
540,858,570,888,6
741,930,771,960,7
1038,679,1068,709,8
