xmin,ymin,xmax,ymax,class
811,2,841,32,1
1012,43,1042,73,6
506,67,536,97,3
600,64,630,94,6
889,72,919,102,7
749,93,779,123,1
1138,97,1168,127,8
17,123,47,153,3
292,123,322,153,2
667,112,697,142,8
251,163,281,193,1
508,178,538,208,8
691,205,721,235,8
414,216,444,246,6
862,231,892,261,1
1065,217,1095,247,6
1144,228,1174,258,3
935,232,965,262,8
1010,231,1040,261,2
628,248,658,278,7
883,254,913,284,6
291,259,321,289,4
1202,264,1232,294,8
697,269,727,299,7
1114,279,1144,309,4
431,300,461,330,2
304,300,334,330,6
1081,306,1111,336,6
1159,325,1189,355,2
473,344,503,374,1
714,333,744,363,8
1053,362,1083,392,8
790,376,820,406,4
476,406,506,436,8
536,405,566,435,8
1107,429,1137,459,5
198,430,228,460,8
914,435,944,465,7
371,470,401,500,1
853,459,883,489,5
109,473,139,503,8
659,474,689,504,6
1009,478,1039,508,7
608,500,638,530,6
787,497,817,527,2
1215,504,1245,534,3
676,544,706,574,8
1066,540,1096,570,8
798,590,828,620,6
391,599,421,629,7
1124,590,1154,620,8
482,602,512,632,7
955,611,985,641,2
184,621,214,651,8
582,639,612,669,8
706,640,736,670,3
195,655,225,685,8
1148,653,1178,683,5
781,678,811,708,4
667,682,697,712,6
984,713,1014,743,3
606,716,636,746,6
1082,704,1112,734,2
440,730,470,760,6
624,729,654,759,7
221,751,251,781,5
867,749,897,779,8
983,754,1013,784,1
542,799,572,829,7
1068,796,1098,826,8
634,833,664,863,8
765,872,795,902,7
1237,872,1267,902,3
817,876,847,906,5
973,883,1003,913,8
367,902,397,932,8
413,896,443,926,5
569,918,599,948,1
845,905,875,935,1
1193,948,1223,978,2
258,189,288,219,3
340,490,370,520,7
131,360,161,390,8
285,135,315,165,8
549,567,579,597,8
547,551,577,581,4
681,610,711,640,5
756,560,786,590,1
594,102,624,132,7
638,282,668,312,7
1001,178,1031,208,8
795,285,825,315,8
1140,119,1170,149,3
759,832,789,862,7
941,911,971,941,6
921,921,951,951,1
54,789,84,819,8
