826.95,17.59,266.42
1027.5,58.56,129.27
521.15,82.04,255.17
615.6,79.695,42.38
904.2,87.085,30.63
764.3,108.7,90.64
1153.6,112.45,163.21
32.41,138.82,108.26
307.26,138.63,256.56
682.9,127.76,6.93
266.25,178.28,93.22
523,193.75,351.46
706.35,220.65,165.55
429.9,231.32,313.49
877.8,246.73,94.07
1080.3,232.56,228.07
1159.8,243.84,68.53
950.7,247.25,171.58
1025.3,246.97,260.64
643.15,263.55,138.84
898.25,269.08,44.33
306.58,274.06,244.75
1217.6,279.26,353.05
712.7,284.28,321.99
1129,294.85,245.26
446.19,315.19,81.75
319.73,315.93,133.02
1096.2,321.5,46.07
1174.7,340.64,281.5
488.02,359.43,96.92
729.8,348.83,194.82
1068,377.64,179.56
805,391.89,67.26
491.69,421.1,165.2
551.4,420.01,174.59
1122.9,444.36,239.4
213.96,445.76,332.92
929,450.43,209.63
386.56,485.1,86.56
868.55,474.67,301.13
124.89,488.67,340.93
674.45,489.57,47.4
1024.5,493.35,146.9
623.9,515.3,222.92
802.55,512.25,78.63
1230,519.3,291.62
691.1,559.8,184.44
1081.5,555.3,335.29
813.05,605.15,130.08
406.55,614.15,330.66
1139.3,605.75,152.4
497.72,617.85,145.65
970.95,626.45,283.06
199.46,636.9,339.56
597.15,654.85,343.46
721.55,655.2,109.88
210.66,670.25,166.23
1163.8,668,305.83
796.65,693.85,63.07
682.1,697.05,129.68
999.85,728.25,288.71
621.9,731.05,230.73
1097.2,719.35,255.53
455.63,745,131.69
639.35,744.3,327.5
236.79,766.15,303.93
882.35,764.05,197.19
998.85,769.15,93.1
557.1,814.9,210.76
1083.5,811,18.99
649.45,848.15,173.97
780.9,887.3,217.26
1252.3,887.15,105.32
832.25,891.9,56.66
988.2,898.05,333.3
382.46,917.25,156.97
428.69,911,58.72
584.95,933.6,87.14
860.3,920.9,274.56
1208.5,963.3,283.92
273.68,204.99,72
355.14,505.85,32
146.89,375.49,26
300.6,150.28,354
564.1,582.45,18
562.7,566.95,118
696.55,625.3,127
771.65,575.15,90
609.45,117.45,41
653.35,297.07,320
1016,193.44,177
810.9,300.12,161
1155,134.76,75
774.7,847.6,328
956.25,926.95,46
936.15,936.2,91
69.58,804.2,356
