xmin,ymin,xmax,ymax,class
130,58,160,88,2
535,65,565,95,2
592,90,622,120,3
327,99,357,129,7
919,148,949,178,8
233,155,263,185,3
589,223,619,253,3
970,220,1000,250,5
626,238,656,268,8
782,244,812,274,6
505,249,535,279,3
663,268,693,298,5
859,270,889,300,8
461,294,491,324,6
647,310,677,340,1
1080,293,1110,323,8
364,324,394,354,5
674,333,704,363,2
235,344,265,374,2
1111,350,1141,380,8
665,369,695,399,5
1023,366,1053,396,4
154,383,184,413,4
842,392,872,422,8
963,388,993,418,4
298,417,328,447,7
473,420,503,450,8
626,423,656,453,5
996,432,1026,462,7
283,481,313,511,8
1061,484,1091,514,3
1031,499,1061,529,5
815,515,845,545,2
209,531,239,561,2
919,538,949,568,3
191,577,221,607,8
453,579,483,609,5
289,581,319,611,1
625,581,655,611,6
712,586,742,616,3
383,589,413,619,8
576,603,606,633,7
210,604,240,634,8
1113,630,1143,660,3
842,659,872,689,4
1094,669,1124,699,8
942,679,972,709,3
223,690,253,720,8
503,685,533,715,7
734,688,764,718,3
387,715,417,745,5
112,717,142,747,8
180,734,210,764,8
485,763,515,793,5
541,761,571,791,8
1087,768,1117,798,8
315,772,345,802,2
453,794,483,824,5
749,802,779,832,1
281,813,311,843,4
851,830,881,860,3
1148,845,1178,875,4
213,866,243,896,3
317,853,347,883,1
915,872,945,902,8
535,913,565,943,5
369,926,399,956,6
431,295,461,325,5
583,345,613,375,5
198,504,228,534,8
989,257,1019,287,1
