xmin,ymin,xmax,ymax,class
725,38,755,68,8
677,54,707,84,8
440,130,470,160,8
550,152,580,182,8
763,172,793,202,5
677,186,707,216,5
201,201,231,231,3
736,248,766,278,8
-4,249,25,279,7
123,280,153,310,8
707,292,737,322,8
458,340,488,370,8
395,342,425,372,7
675,350,705,380,5
562,366,592,396,4
775,411,805,441,8
142,430,172,460,1
411,515,441,545,2
614,679,644,709,4
340,712,370,742,5
261,733,291,763,8
760,744,790,774,8
487,762,517,792,8
841,774,871,804,2
1039,808,1069,838,8
381,828,411,858,1
592,840,622,870,8
503,865,533,895,8
149,884,179,914,8
688,890,718,920,8
894,916,924,946,8
791,932,821,962,8
827,946,857,976,7
