xmin,ymin,xmax,ymax,class
331,68,361,98,5
211,93,241,123,6
110,89,140,119,8
233,151,263,181,4
229,207,259,237,1
235,236,265,266,6
76,299,106,329,6
44,260,74,290,7
135,368,165,398,8
216,378,246,408,7
352,184,382,214,3
471,166,501,196,1
475,273,505,303,2
378,358,408,388,8
698,135,728,165,6
613,90,643,120,1
693,206,723,236,1
564,207,594,237,8
626,254,656,284,7
534,332,564,362,4
595,331,625,361,4
714,293,744,323,5
834,270,864,300,8
529,435,559,465,1
927,200,957,230,3
844,368,874,398,7
996,390,1026,420,8
922,385,952,415,5
1178,79,1208,109,7
1163,220,1193,250,5
1227,281,1257,311,7
1057,269,1087,299,5
1073,424,1103,454,8
129,522,159,552,7
100,594,130,624,4
241,644,271,674,7
355,588,385,618,2
351,498,381,528,8
116,681,146,711,1
65,710,95,740,6
162,747,192,777,2
202,854,232,884,7
249,792,279,822,8
125,829,155,859,7
14,795,44,825,7
337,838,367,868,8
455,550,485,580,5
488,647,518,677,1
613,446,643,476,8
644,609,674,639,7
647,694,677,724,6
636,762,666,792,8
773,681,803,711,2
753,552,783,582,1
678,487,708,517,8
931,778,961,808,1
825,804,855,834,8
837,734,867,764,6
879,649,909,679,7
894,518,924,548,6
977,536,1007,566,5
914,466,944,496,4
710,745,740,775,7
1216,553,1246,583,8
1204,637,1234,667,6
1195,733,1225,763,3
1162,690,1192,720,4
1067,686,1097,716,3
1130,810,1160,840,7
1192,781,1222,811,8
988,829,1018,859,6
379,63,409,93,6
1095,598,1125,628,6
46,460,76,490,3
437,457,467,487,5
571,595,601,625,8
740,425,770,455,1
737,321,767,351,2
918,649,948,679,7
1034,758,1064,788,8
922,295,952,325,8
974,117,1004,147,3
996,107,1026,137,2
1065,212,1095,242,1
797,94,827,124,5
1172,412,1202,442,7
1242,374,1272,404,5
1077,544,1107,574,5
192,515,222,545,8
48,470,78,500,8
331,245,361,275,1
313,427,343,457,2
515,759,545,789,4
494,828,524,858,1
422,742,452,772,8
607,347,637,377,8
626,402,656,432,3
965,665,995,695,2
125,222,155,252,7
1236,415,1266,445,5
879,818,909,848,8
333,720,363,750,8
216,477,246,507,7
229,478,259,508,4
298,544,328,574,8
543,83,573,113,8
381,149,411,179,1
