92.21,23.623,5.93
158.84,12.261,310.04
1072.4,20.711,1.65
292.83,27.351,354.25
629.95,29.638,97.88
958.55,53.725,154.21
1033,55.43,141.1
517.2,62.46,328.54
331.2,78.685,90.49
907.65,108.97,213.21
559.4,124.47,0.1
348.79,135.22,273.05
1011.2,139.22,299.91
182.81,152.15,12.78
593.35,195.27,21.88
751.05,198.08,101.66
1079.5,191.07,285.87
192.29,246.41,6.32
852.4,255.93,164.28
353.24,267.76,184.31
1084.8,268.9,81.92
416.69,293.06,216.62
353.94,323.24,67.49
908.1,344.76,168.78
455.12,352.38,174.33
804.65,364.79,344
130.38,373.89,24.02
595.05,379.54,52.06
633.6,390.08,336.77
1113,437.2,5.86
884.55,452.79,37.14
521.35,465.08,171.94
1062.8,488,179.42
178.41,509.2,87.2
860.2,521.65,359.21
1057.6,577.95,354.04
267.77,586.55,346.33
314.47,595.45,280.51
734.95,605.7,356.96
182.91,613,43.75
1055.5,636.95,63.58
805.85,665.7,12.69
844.75,700.45,164.12
944.45,701.45,48.14
630.1,720.8,347.04
256.85,727.1,184.04
290.31,739.15,322.37
26.709,748.3,195.78
843.8,770.1,170.54
220.4,781.2,314.63
1053.8,801.7,58.54
655.45,861.65,94
914.7,869.05,261.36
465.73,892.65,130.65
526.75,908.9,351.76
937.4,922.45,311.36
1176.5,952.35,22.01
18.464,963.55,182.29
671.85,699.15,343
291,432,11
680.3,228.78,178
711.1,17.471,216
1137.3,271.05,349
947.95,550.15,298
824.55,583.7,324
