xmin,ymin,xmax,ymax,class
614,15,644,45,8
716,158,746,188,8
274,184,304,214,8
455,202,485,232,6
401,214,431,244,8
178,222,208,252,8
70,246,100,276,8
548,335,578,365,8
489,360,519,390,7
441,378,471,408,8
573,380,603,410,8
283,378,313,408,6
442,425,472,455,6
561,464,591,494,2
722,564,752,594,8
675,624,705,654,5
722,686,752,716,8
600,752,630,782,6
771,760,801,790,8
461,766,491,796,7
855,761,885,791,6
448,800,478,830,8
390,807,420,837,8
248,812,278,842,7
799,814,829,844,8
297,857,327,887,7
813,890,843,920,7
379,907,409,937,2
707,597,737,627,4
603,134,633,164,5
