xmin,ymin,xmax,ymax,class
555,111,585,141,6
462,205,492,235,8
478,149,508,179,6
318,241,348,271,3
282,170,312,200,1
161,141,191,171,8
214,262,244,292,3
166,315,196,345,3
358,328,388,358,8
489,291,519,321,7
462,451,492,481,8
260,408,290,438,8
63,402,93,432,8
566,330,596,360,5
134,505,164,535,3
84,652,114,682,2
246,623,276,653,8
325,671,355,701,8
355,549,385,579,6
469,584,499,614,3
520,667,550,697,1
156,710,186,740,4
602,392,632,422,6
602,500,632,530,8
694,484,724,514,8
757,423,787,453,6
679,145,709,175,1
618,262,648,292,7
768,273,798,303,1
814,304,844,334,7
786,197,816,227,8
656,617,686,647,7
733,655,763,685,8
819,729,849,759,1
940,694,970,724,5
856,590,886,620,5
793,518,823,548,2
881,462,911,492,1
944,525,974,555,7
984,617,1014,647,7
1046,606,1076,636,6
1087,458,1117,488,8
991,378,1021,408,7
1062,351,1092,381,6
1171,371,1201,401,8
1246,510,1276,540,6
1215,719,1245,749,5
1103,705,1133,735,7
1156,503,1186,533,8
1087,177,1117,207,8
1186,203,1216,233,7
1044,218,1074,248,8
981,234,1011,264,7
918,151,948,181,8
870,374,900,404,6
210,519,240,549,8
822,367,852,397,2
948,371,978,401,6
402,70,432,100,6
896,269,926,299,3
1186,554,1216,584,6
